,Name,RA (deg),DEC (deg),Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,CLASS2
2164,4FGL J0909.1+0121 ,137.2967,137.2967,43.245667,1044.3143,1.8684683e-09,2.490983e-11,2.4645394e-12,2.4803402,2.7768972e-12,2.5563078,0.099657305,5.591118,2.7537746e-12,2.4769459,0.16009429,0.6666667,5.1466293,4923.7344,1034.359,0.99253565,fsrq ,          
2165,4FGL J0909.6+0159 ,137.4222,137.4222,26.468842,1608.3394,1.0555898e-09,9.017656e-12,4.1885413e-13,2.176737,4.5217478e-13,2.0365038,0.097684145,2.6078205,4.4004766e-13,2.018953,0.09916269,0.6666667,2.936154,1226.6967,21.470875,0.18668985,bll  ,          
2166,4FGL J0909.7-0230 ,137.4464,137.4464,55.323933,695.0211,2.132077e-09,2.1227898e-11,6.026562e-12,2.2831314,6.6962347e-12,2.1928954,0.099008374,5.900816,6.460937e-12,2.1713321,0.099586904,0.6666667,5.522953,3797.7815,162.73167,0.3679204,fsrq ,          
2167,4FGL J0909.7+3104 ,137.4477,137.4477,5.8685584,3311.1711,1.1586641e-10,1.2911456e-12,1.0627193e-14,2.017095,1.0764584e-14,2.0044882,0.0072770817,0.09509007,1.0936662e-14,1.9742167,0.022555193,0.6666667,0.35301554,184.76826,9.78071,0.0,bll  ,          
2168,4FGL J0910.0+4257 ,137.5058,137.5058,9.833043,813.2964,2.042256e-10,3.269419e-12,5.4393154e-13,2.566581,6.3100534e-13,2.4077656,0.19570355,1.6854185,6.4882035e-13,2.271867,0.45818293,0.6666667,2.2109683,838.1164,14.533583,0.23423426,css  ,          
2169,4FGL J0910.1-1816 ,137.5335,137.5335,5.8616557,3412.2708,1.8067836e-10,1.0029135e-12,1.2874912e-14,2.0798805,2.1944725e-14,2.0051715,0.52290213,2.4313653,1.9182943e-14,1.8928291,0.54634523,0.6666667,2.1192496,108.77167,10.866352,0.0,     ,          
2170,4FGL J0910.3-4816c,137.5881,137.5881,4.5512075,1014.0464,5.9507177e-10,5.463378e-12,5.72241e-13,2.603299,1.442842e-12,2.9318135,0.93408704,4.0364017,1.4773534e-12,2.679705,2.0311632,0.6666667,4.081532,739.24445,10.624862,0.0,     ,          
2171,4FGL J0910.6+3329 ,137.6511,137.6511,40.441303,2172.808,1.4871717e-09,1.482693e-11,3.0386723e-13,1.9263846,3.225939e-13,1.8461514,0.05465684,2.917193,3.1477053e-13,1.8418192,0.04104462,0.6666667,3.082302,1705.5153,23.969217,0.16955766,bll  ,          
2172,4FGL J0910.6+2247 ,137.6743,137.6743,15.173473,836.90607,5.110778e-10,5.423094e-12,9.87728e-13,2.3709855,1.1062784e-12,2.2901437,0.08798679,2.0436695,1.0751798e-12,2.251433,0.10391071,0.6666667,2.411174,1088.7466,176.86232,1.1387112,fsrq ,          
2173,4FGL J0910.8+3859 ,137.7091,137.7091,16.363876,2447.6409,3.3003503e-10,3.670796e-12,5.5718634e-14,2.033072,6.1121044e-14,1.9396819,0.07474625,1.4312819,6.093543e-14,1.8801445,0.10338435,0.6666667,2.022781,563.5164,49.73576,0.6301313,bll  ,          
2174,4FGL J0910.9+6055 ,137.737,137.737,5.757648,2487.5767,1.2355339e-10,7.8038395e-13,1.726301e-14,2.058938,2.4683311e-14,1.7431775,0.33730203,2.2391312,2.212177e-14,1.7288101,0.31812632,0.6666667,2.1073697,123.19411,18.044334,0.358746,     ,          
2175,4FGL J0911.0-5047 ,137.7507,137.7507,5.8074245,1871.683,5.523959e-10,8.6991855e-12,1.7320872e-13,2.5539691,1.9129349e-13,2.611374,0.05748318,1.0518912,1.8177225e-13,2.5348904,0.04744408,0.6666667,0.6966878,856.00934,33.783188,0.9571814,bcu  ,          
2176,4FGL J0911.6-4738c,137.9166,137.9166,6.081593,1836.1317,6.407736e-10,1.06958505e-11,2.1121975e-13,2.597778,2.426311e-13,2.6947937,0.07873241,1.3636491,2.124438e-13,2.5894248,0.010604066,0.6666667,0.2228248,988.60565,9.8503065,0.0,     ,unk       
2177,4FGL J0911.7+3349 ,137.9382,137.9382,9.372971,2085.6558,2.9531372e-10,3.6284836e-12,7.096708e-14,2.3167605,6.738295e-14,2.3106565,-0.027858416,0.72385126,6.980251e-14,2.3354354,-0.01399388,0.6666667,0.47732848,768.0766,13.722277,0.20510243,bll  ,          
2178,4FGL J0912.0-1539 ,138.0082,138.0082,4.5063157,2063.1438,1.5464854e-10,6.3948326e-13,2.3069739e-14,2.219268,5.139624e-14,2.1957831,0.96254927,3.336128,5.0763647e-14,1.9851332,1.7912232,0.6666667,3.3555086,100.33498,30.09045,0.82019794,     ,          
2179,4FGL J0912.1-6449 ,138.0481,138.0481,13.148245,1053.4739,4.706548e-10,4.0259554e-12,4.985178e-13,2.402022,6.11417e-13,2.241298,0.19763823,3.299596,5.8869576e-13,2.1680512,0.26407713,0.6666667,3.4878967,867.0621,10.870124,0.060916226,glc  ,          
2180,4FGL J0912.2+4127 ,138.0559,138.0559,24.708199,834.58136,5.4623583e-10,7.742642e-12,1.2527181e-12,2.4669163,1.2502619e-12,2.467757,-0.0014215028,0.0,1.2384564e-12,2.4833148,-0.0112442775,0.6666667,0.84571147,1855.1774,373.3386,1.1869521,fsrq ,          
2181,4FGL J0912.2-2751 ,138.0652,138.0652,10.402958,1208.6139,3.5739217e-10,4.0958174e-12,3.1434634e-13,2.4406993,4.0233943e-13,2.703355,0.27155215,3.0345895,4.1048949e-13,2.63276,0.68777895,0.6666667,2.1902719,879.9678,8.689564,0.0,bcu  ,          
2182,4FGL J0912.2+2800 ,138.069,138.069,8.0267,9266.047,5.5225085e-11,1.2917471e-12,1.7697821e-15,1.7131438,2.833093e-15,0.80776346,0.7198332,2.2593591,2.7116847e-15,0.93055844,0.82341087,0.6666667,2.5141232,27.95335,16.174572,0.13756609,bll  ,          
